key,enValue,enValid,frValue,frValid
legend.title,Legend,1,Légende,1
legend.header.groups,Toggle Groups,1,Basculer les Groupes,1
legend.header.groups.expand,Expand All,1,Élargir les groupes,1
legend.header.groups.collapse,Collapse All,1,Réduire les groupes,1
legend.header.visible,Toggle Visibility,1,Basculer la Visibilité,1
legend.header.visible.show,Show All,1,Montrer tout,1
legend.header.visible.hide,Hide All,1,Cacher tout,1
legend.group.expand,Expand Group,1,Élargir la groupe,0
legend.group.collapse,Collapse Group,1,Réduire la groupe,0
legend.visibility.show,Show layer,1,Afficher la couche,0
legend.visibility.hide,Hide layer,1,Masquer la couche,0
legend.symbology.expand,Expand legend,1,Développer la légende,0
legend.symbology.hide,Hide legend,1,Hide legend,0
legend.entry.data,Show more data,1,Show more data,0
