key,enValue,enValid,frValue,frValid
lang-code,en,1,fr,1
lang-dir,ltr,1,ltr,1
lang-en,English,1,French,1
lang-fr,anglais,1,français,1
lang-native,English,1,Français,1
map.toggleScaleUnits,Toggle between imperial and metric map scale,1,Basculer entre les échelles métriques et impériales pour la carte,1
map.coordinates.east,E,1,E,1
map.coordinates.west,W,1,O,1
map.coordinates.north,N,1,N,1
map.coordinates.south,S,1,S,1
map.changeLanguage,Change Language,1,Changer la Langue,0
map.language.short,EN-CA,1,FR-CA,0
map.language.en,English (current),1,English,1
map.language.fr,Français,1,Français (actuel),0
map.export,export map,1,exporter la carte,0
notifications.title,Notifications,1,Notifications,0
notifications.empty,No new notifications.,1,Aucun nouvel avis.,0
notifications.controls.dismiss,Dismiss,1,Rejeter,0
notifications.controls.expand,Expand,1,Élargir,0
notifications.controls.collapse,Collapse,1,Réduire,0
notifications.controls.clearAll,Clear All,1,Tout effacer,0
panels.controls.close,Close,1,Fermer,1
panels.controls.pin,Pin,1,Épingler,0
panels.controls.unpin,Unpin,1,Détacher,0
panels.controls.back,Back,1,Retourner,0
panels.controls.optionsMenu,More,1,Plus,0
panels.controls.minimize,Minimize,1,Réduire au minimum,0
