key,enValue,enValid,frValue,frValid
details.layers.title.identifyOrigin,Identify Details,1,Identifier les détails,0
details.layers.title.gridOrigin,Details,1,Détails,1
details.layers.found,Found {numResults} results in {numLayers} layers,1,{numResults} résultats trouvés dans {numLayers} couches,1
details.layers.loading,The layer is loading...,1,La couche est en cours de chargement...,1
details.layers.error,Error,1,Erreur,1
details.layers.results.empty,No results found for any layer.,1,Aucun résultat trouvé pour aucune couche.,0
details.layers.results.empty.currentLayer,No results found for the selected layer.,1,Aucun résultat trouvé pour la couche sélectionnée.,1
details.layers.results.empty.noLayers,No layers for identification.,1,Pas de couches pour l'identification.,0
details.result.default.name,Identify Item {0},1,Désigner l'élément {0},1
details.loading,Loading...,1,Chargement en cours...,1
details.items.title,Details,1,Détails,1
details.items.range,{0} to {1} of {2},1,{0} à {1} de {2},0
details.items.next,Next page,1,Page suivante,0
details.items.previous,Previous page,1,Page précédente,0
details.items.page,Items per page,1,éléments par page,0
details.item.see.list,See List,1,Voir la liste,1
details.item.zoom,Zoom to feature,1,Zoom à l'élément,1
details.item.zoom.zooming,Zooming...,1,Zoom en cours...,1
details.item.zoom.error,Zoom failed,1,Échec du zoom,1
details.item.zoom.zoomed,Zoomed,1,Zoom terminé,1
details.item.previous.item,Previous item,1,Élément précédent,1
details.item.next.item,Next item,1,Élément suivant,1
details.item.count,{0} of {1},1,{0} de {1},1
details.item.loading,Loading results...,1,Chargement des résultats...,1
details.item.no.data,No data to show because the layer has been removed,1,Aucune donnée à afficher, car la couche a été supprimée,1
details.item.alert.zoom,Zoomed into feature,1,Zoom sur la caractéristique,1
details.item.alert.show.item,Showing result {itemName},1,Affichage du résultat {itemName},1
details.item.alert.show.list,Showing all results for {layerName},1,Affichage de tous les résultats pour {layerName},1
details.item.alert.defaultAltText,Image associated with {alias} field,1,Image associée au champ {alias},1
details.togglehilight.title,Toggle Highlight,1,Basculer vers l'élément principal,1
details.item.open,Expand,1,Développer,1
details.item.collapse,Collapse,1,Réduire,1
