key,enValue,enValid,frValue,frValid
grid.title,Datatable,1,Tableau de données,1
grid.alertName,Grid,1,Grille,1
grid.splash.loading,Loading data...,1,Chargement des données...,1
grid.splash.building,Building table...,1,Création du tableau...,1
grid.splash.cancel,Cancel,1,Annuler,1
grid.clearAll,Clear search and filters,1,Effacer la recherche et les filtres,1
grid.layer.loading,The layer is loading...,1,La couche est en cours de téléchargement...,1
grid.label.columns,Hide columns,1,Masquer les colonnes,1
grid.label.filters.show,Show filters,1,Afficher les filtres,1
grid.label.filters.hide,Hide filters,1,Masquer les filtres,1
grid.label.filters.apply,Apply filters to map,1,Appliquer les filtres à la carte,1
grid.header.sort.0,Sort ascending,1,Tri ascendant,1
grid.header.sort.1,Sort descending,1,Tri descendant,1
grid.header.sort.2,Sort default,1,Tri par défaut,1
grid.header.reorder.left,Move left,1,Déplacer vers la gauche,1
grid.header.reorder.right,Move right,1,Déplacer vers la droite,1
grid.filters.label.global,Search table,1,Tableau de recherche,1
grid.filters.column.label.text,Search {0}...,1,Rechercher {0}...,1
grid.filters.clear,Clear filters,1,Supprimer les filtres,1
grid.filters.number.max,Max,1,Max,1
grid.filters.number.min,Min,1,Min,1
grid.filters.label.info,{range} of {total} entries shown,1,{range} de {total} saisies affichées,1
grid.filters.label.filtered,(filtered from {max} total entries),1,(filtré à partir d’un total de {max} saisies),1
grid.filters.extent,Filter by extent,1,Filtrer par étendue,1
grid.cells.zoom,Zoom to feature,1,Zoom à l'élément,1
grid.cells.details,Details,1,Détails,1
grid.button.title,Grid,1,Grille,1
