key,enValue,enValid,frValue,frValid
keyboardnav.activeNamespace,Namespace Active: {name},1,Espace de noms actif : {name},0
keyboardnav.helpTitle,Keyboard Shortcuts,1,Raccourcis clavier,0
keyboardnav.keysTitle,Keys for {name},1,Raccourcis pour {name},0
keyboardnav.helpDescription,Press <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">S</span> to start fixture shortcuts then type the fixture key (for example <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">D</span>) followed by an action key like <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">L</span>. Use <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">Escape</span> to clear the chain or <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">Backspace</span> to undo the last key.,1,Appuyez sur <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">S</span> pour démarrer les raccourcis de module puis saisissez la touche du module (par exemple <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">D</span>) suivie d'une touche d'action comme <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">L</span>. Utilisez <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">Échap</span> pour effacer la chaîne ou <span class="font-mono px-6 text-[0.825rem]/6 font-semibold rounded-lg px-1.5 ring-1 ring-inset ring-zinc-300 bg-zinc-400/10 text-zinc-500 dark:ring-zinc-400/30 dark:bg-zinc-400/10 dark:text-zinc-400">Retour</span> pour enlever la dernière touche.,0
keyboardnav.noShortcuts,No shortcuts available.,1,Aucun raccourci disponible.,0
keyboardnav.mainShortcuts.title,Global controls,1,Contrôles globaux,0
keyboardnav.mainShortcuts.numbers,Focus on an open panel (1 being leftmost),1,Concentrer sur un panneau ouvert (1 étant le plus à gauche),0
keyboardnav.mainShortcuts.escape,Clear the chain or close the focused panel,1,Effacer la chaîne ou fermer le panneau actif,0
keyboardnav.mainShortcuts.start,Start or reset fixture shortcuts,1,Démarrer ou réinitialiser les raccourcis de module,0
keyboardnav.mainShortcuts.backspace,Remove the last key in the chain,1,Retirer la dernière touche de la chaîne,0
keyboardnav.chain.help,Toggle shortcut guide,1,Afficher ou masquer le guide des raccourcis,0
