key,enValue,enValid,frValue,frValid
metadata.title,Metadata,1,Métadonnées,1
metadata.loading,Loading...,1,Chargement en cours...,1
metadata.error,There was an error retrieving this resource. Please try again.,1,Une erreur s'est produite lors du chargement de cette ressource. Veuillez essayer de nouveau.,1
metadata.label.no.layer,No metadata to show because the layer has been removed,1,Aucune métadonnée à afficher, car la couche a été supprimée.,1
metadata.xslt.Abstract,Abstract,1,Résumé,1
metadata.xslt.Scope,Scope,1,Portée,1
metadata.xslt.hereBeScope,here be scope,1,la portée jusqu'ici,1
metadata.xslt.timePeriod,Time Period,1,Période,1
metadata.xslt.supplementalData,Supplemental Data,1,Données supplémentaires,1
metadata.xslt.contactInfo,Contact Information,1,Coordonnées,1
metadata.xslt.resourceProvider,Resource Provider,1,Fournisseur de la ressource,1
metadata.xslt.custodian,Custodian,1,Dépositaire,1
metadata.xslt.owner,Owner,1,Propriétaire,1
metadata.xslt.user,User,1,Utilisateur,1
metadata.xslt.distributor,Distributor,1,Distributeur,1
metadata.xslt.originator,Originator,1,Auteur,1
metadata.xslt.pointOfContact,Point of Contact,1,Point de contact,1
metadata.xslt.principalInvestigator,Principal Investigator,1,Chercheur principal,1
metadata.xslt.processor,Processor,1,Préparateur,1
metadata.xslt.publisher,Publisher,1,Éditeur,1
metadata.xslt.author,Author,1,Auteur,1
metadata.xslt.collaborator,Collaborator,1,Collaborateur,1
metadata.xslt.editor,Editor,1,Éditeur,1
metadata.xslt.mediator,Mediator,1,Médiateur,1
metadata.xslt.rightsHolder,Rights Holder,1,Titulaire des droits,1
metadata.xslt.cataloguePage,Data Catalogue Page,1,Page des données du catalogue,1
metadata.xslt.metadataPage,Raw Metadata,1,Métadonnées brutes,1
metadata.xslt.metadata,Metadata,1,Métadonnées,1
