X,Y,time,date,line,linename,linetype,f_altm,f_pot,f_ura,f_tho,f_rtk,f_rut,f_ruk,f_adrt,f_adrn,r_tlive,r_potc,r_urac,r_thoc,r_totc,f_mtf,f_prkpa,f_tempc
-89.81578283,50.00598272,99,24/06/1978,250,62500,L,128.3,0.289,0.762,1.583,6.01126,0.12183,0.63755,15.991,12.042,993.176,88,40,27,853,60793,101.3,20
-89.81574469,50.00655493,100,24/06/1978,250,62500,L,130.1,0.296,0.818,1.904,6.01126,0.12183,0.63755,19.092,13.251,992.328,94,55,24,959,60792,101.3,20
-89.74195798,49.99525656,64,26/06/1978,251,72510,L,135.3,0.451,0.641,1.478,4.59193,0.20188,0.83458,18.098,13.214,992.176,90,41,26,978,60788,101.3,20
-89.74191983,49.99585547,65,26/06/1978,251,72510,L,134.4,0.435,0.62,1.539,4.59193,0.20188,0.83458,18.353,13.037,992.584,95,36,26,927,60792,101.3,20
-89.74188931,49.99645057,66,26/06/1978,251,72510,L,133.8,0.477,0.08,2.424,4.59193,0.20188,0.83458,17.452,12.729,991.984,87,41,27,1002,60796,101.3,20
-89.74187405,49.99705712,67,26/06/1978,251,72510,L,133.2,0.419,-0.026,2.758,4.59193,0.20188,0.83458,17.734,12.201,992.648,94,30,39,919,60799,101.3,20
-89.7418359,49.99765603,68,26/06/1978,251,72510,L,133.8,0.439,-0.047,3.03,4.41912,0.20188,0.83458,17.333,13.02,992.4,83,35,31,950,60801,101.3,20
-89.74180537,49.99825876,69,26/06/1978,251,72510,L,135,0.423,0.703,2.189,4.51687,0.20188,0.83458,17.979,14.969,992.248,92,42,31,969,60807,101.3,20
-89.74178248,49.99885386,70,26/06/1978,251,72510,L,134.7,0.538,0.818,2.257,4.63269,0.20188,0.83458,19.336,17.295,992.312,100,48,27,961,60819,101.3,20
-89.74175196,49.99945277,71,26/06/1978,251,72510,L,135.3,0.56,1.051,1.508,4.52026,0.20188,0.83458,19.608,17.039,991.664,109,39,32,1042,60838,101.3,20
-89.74172144,50.00004787,72,26/06/1978,251,72510,L,136.6,0.579,0.927,1.397,4.24726,0.20188,0.83458,19.543,16.308,992.136,96,44,20,983,60862,101.3,20
-89.74169092,50.00064628,73,26/06/1978,251,72510,L,136.6,0.506,1.027,2.238,4.00665,0.20188,0.83458,20.205,18.014,992.4,100,43,25,950,60889,101.3,20
-89.74166804,50.00125282,74,26/06/1978,251,72510,L,135.3,0.568,0.815,3.302,3.40629,0.20188,0.83458,21.383,20.272,991.28,101,48,45,1090,60918,101.3,20
-89.74163752,50.00184791,75,26/06/1978,251,72510,L,134.1,0.656,0.597,3.376,3.40835,0.20188,0.83458,22.763,20.372,991.384,112,45,36,1077,60940,101.3,20
-89.74159938,50.00245063,76,26/06/1978,251,72510,L,132.9,0.656,0.918,2.201,3.72438,0.1933,0.80629,22.752,19.266,991.48,116,37,26,1065,60951,101.3,20
-89.74158412,50.00304573,77,26/06/1978,251,72510,L,130.8,0.741,1.018,1.082,3.64782,0.18401,0.7911,22.806,18.159,991.12,102,51,28,1110,60958,101.3,20
-89.74155361,50.00364464,78,26/06/1978,251,72510,L,129.5,0.6,0.685,1.471,3.40796,0.17647,0.77583,21.883,15.395,991.184,128,41,19,1102,60960,101.3,20
-89.74151546,50.00425117,79,26/06/1978,251,72510,L,128.6,0.724,0.089,2.077,3.31064,0.20044,0.84817,21.693,15.146,991.888,83,29,32,1014,60953,101.3,20
-89.74148495,50.00485008,80,26/06/1978,251,72510,L,127.7,0.672,-0.226,3.333,3.8731,0.20456,0.85426,22.817,15.808,991.12,122,36,37,1110,60932,101.3,20
-89.74146969,50.00544517,81,26/06/1978,251,72510,L,126.2,0.824,0.216,3.067,4.33004,0.20097,0.8151,24.473,19.639,990.36,120,40,39,1205,60889,101.3,20
-89.74143154,50.00604408,82,26/06/1978,251,72510,L,122.2,0.747,0.39,3.203,4.63,0.20388,0.79641,25,19.958,990.616,128,43,29,1173,60805,101.3,20
-89.74140103,50.00664299,83,26/06/1978,251,72510,L,113.4,0.649,0.611,3.178,4.65398,0.19123,0.71403,23.811,19.867,990.176,117,45,42,1228,60667,101.3,20
-89.96199884,50.04192804,85,24/06/1978,248,62480,L,138.1,0.84,0.42,2.517,3.85305,0.16405,0.55295,27.818,19.636,990.304,134,45,33,1212,60528,101.3,20
-89.96200647,50.04248499,86,24/06/1978,248,62480,L,135,0.783,0.316,3.32,3.85305,0.16405,0.55295,28.247,20.3,990.632,95,44,27,1171,60535,101.3,20
-89.96202936,50.0430305,87,24/06/1978,248,62480,L,132.6,0.682,0.538,3.438,3.85305,0.16405,0.55295,27.498,20.532,989.808,129,48,46,1274,60540,101.3,20
-89.96203699,50.04358744,88,24/06/1978,248,62480,L,131.4,0.845,0.21,3.636,4.00367,0.16405,0.55295,27.628,21.297,990.448,123,54,36,1194,60543,101.3,20
-89.89183593,50.02661995,76,24/06/1978,249,62491,L,137.5,0.302,0.476,1.106,5.44229,0.10313,0.5309,14.889,9.403,993.2,76,38,21,850,60738,101.3,20
-89.89180541,50.02714638,77,24/06/1978,249,62491,L,135.9,0.384,0.794,2.003,5.44229,0.10313,0.5309,17.088,14.512,992.808,92,46,30,899,60739,101.3,20
-89.89176726,50.02767281,78,24/06/1978,249,62491,L,137.8,0.538,0.83,3.469,5.44229,0.10313,0.5309,21.009,20.381,991.952,104,54,35,1006,60733,101.3,20
-89.89173675,50.0282145,79,24/06/1978,249,62491,L,138.1,0.756,1.101,4.446,4.83156,0.10313,0.5309,27.704,27.202,990.992,116,49,43,1126,60722,101.3,20
-89.8916986,50.02874475,80,24/06/1978,249,62491,L,136.9,0.966,0.62,5.009,4.15763,0.10313,0.5309,33.405,28.623,989,147,61,45,1375,60713,101.3,20
-89.89166046,50.02927499,81,24/06/1978,249,62491,L,135.6,1.225,0.818,3.914,3.80301,0.10313,0.5309,37.929,30.407,988.592,142,43,43,1426,60713,101.3,20
-89.89162994,50.02980142,82,24/06/1978,249,62491,L,135.3,1.259,0.237,4.118,4.08157,0.10313,0.5309,39.134,28.065,988.264,168,48,27,1467,60717,101.3,20
-89.8915918,50.03033548,83,24/06/1978,249,62491,L,137.5,1.332,0.31,5.145,4.36539,0.10313,0.5309,40.606,31.991,988.352,143,44,47,1456,60722,101.3,20
-89.89156891,50.03086191,84,24/06/1978,249,62491,L,138.1,1.235,0.411,7.439,5.47844,0.10313,0.5309,42.441,37.007,987.904,162,52,58,1512,60733,101.3,20
-89.89153839,50.03139979,85,24/06/1978,249,62491,L,139,1.237,0.428,8.256,6.58177,0.10313,0.5309,43.646,39.164,987.456,160,66,61,1568,60747,101.3,20
-89.89150025,50.03193003,86,24/06/1978,249,62491,L,138.1,1.221,0.083,7.922,6.47449,0.10313,0.5309,43.798,36.167,987.712,148,50,59,1536,60760,101.3,20
-89.8914621,50.03246028,87,24/06/1978,249,62491,L,135.9,1.207,-0.182,7.551,5.96023,0.09962,0.50919,43.217,33.558,987.68,152,39,53,1540,60769,101.3,20
-89.89143158,50.03299053,88,24/06/1978,249,62491,L,135.6,1.218,0.237,6.258,5.54196,0.09164,0.45841,41.654,32.858,987.56,153,56,56,1555,60772,101.3,20
-89.89139344,50.03351696,89,24/06/1978,249,62491,L,134.7,1.245,0.234,6.53,4.87594,0.08629,0.42588,41.241,33.871,988.392,154,55,41,1451,60773,101.3,20
-89.89135529,50.0340472,90,24/06/1978,249,62491,L,133.2,1.277,0.65,5.448,4.697,0.07963,0.39043,40.785,33.954,987.736,162,41,58,1533,60773,101.3,20
-89.89132478,50.03457745,91,24/06/1978,249,62491,L,131.1,1.313,0.461,6.035,4.52103,0.0791,0.38931,41.871,34.815,987.52,166,63,41,1560,60771,101.3,20
-89.89128663,50.03511532,92,24/06/1978,249,62491,L,129.2,1.237,1.21,5.819,4.87444,0.07646,0.37984,42.289,37.53,987.392,167,54,51,1576,60770,101.3,20
-89.89124849,50.03564557,93,24/06/1978,249,62491,L,128.9,1.233,1.225,6.586,5.27996,0.07227,0.35677,43.348,39.473,987.2,164,65,57,1600,60769,101.3,20
-89.89121797,50.036172,94,24/06/1978,249,62491,L,127.7,1.252,1.101,7.247,5.51223,0.07243,0.35702,44.51,40.664,986.64,174,70,54,1670,60767,101.3,20
-89.89117982,50.03670606,95,24/06/1978,249,62491,L,127.1,1.318,0.729,7.13,5.58708,0.07315,0.35796,45.943,39.127,986.528,175,55,62,1684,60767,101.3,20
-89.89115694,50.03723249,96,24/06/1978,249,62491,L,127.1,1.317,0.476,7.34,5.04242,0.07385,0.36096,46.231,38.202,986.192,172,52,55,1726,60767,101.3,20
-89.89112642,50.03776274,97,24/06/1978,249,62491,L,127.4,1.396,0.532,5.856,4.74764,0.06979,0.3454,45.558,35.858,986.44,170,63,57,1695,60770,101.3,20
-89.89108827,50.03830061,98,24/06/1978,249,62491,L,127.4,1.309,-0.002,5.899,4.06745,0.06646,0.33313,43.592,31.799,986.968,184,46,38,1629,60775,101.3,20
-89.89105013,50.03883086,99,24/06/1978,249,62491,L,126.5,1.313,-0.023,4.588,4.07709,0.06681,0.33633,40.671,28.468,987.352,142,34,55,1581,60782,101.3,20
